t,o,c,h,l,v
1633046400000,44786.0,48761.78,49082.32,44259.96,236.83240302
1633132800000,48765.24,48280.82,48934.0,48105.0,156.78374211
1633219200000,48269.97,48686.7,49616.69,47800.0,181.61717918
1633305600000,48688.66,49723.42,50150.0,47800.0,173.15436172
1633392000000,49713.95,51872.34,52182.68,49599.27,151.90266743
1633478400000,51849.01,55550.85,56000.0,51007.58,152.98978785
1633564800000,55526.44,53994.41,55532.14,53624.35,134.39899682
1633651200000,53978.16,54322.66,56136.01,53975.01,141.75711834
1633737600000,54295.2,55163.35,55555.0,54111.92,134.41833363
1633824000000,55179.3,55053.87,56750.0,54530.74,142.25758063
1633910400000,55053.3,57840.97,58139.25,54857.71,150.21824397
1633996800000,57826.32,56623.28,58080.65,54250.02,148.92925096
1634083200000,56654.7,57838.35,58247.3,54950.0,139.4803568
1634169600000,57839.54,57539.44,58968.28,57164.98,132.457203
1634256000000,57529.08,61971.96,63078.0,57124.04,184.72949224
1634342400000,61960.88,61162.29,62616.0,60453.4,152.17056911
1634428800000,61173.99,61867.27,61988.8,59523.39,159.42928455
1634515200000,61881.48,62619.0,63256.97,60524.46,153.5965988
1634601600000,62590.21,64721.48,64900.0,62000.0,148.88859014
1634688000000,64758.62,66131.49,67359.22,64081.0,142.5065739
1634774400000,66141.81,62521.26,66979.99,62204.79,208.08695627
1634860800000,62500.01,60974.23,64000.0,60300.0,143.14522785
1634947200000,60969.0,61554.4,61908.74,60000.0,109.71911717
1635033600000,61538.0,61143.48,61688.53,59890.63,130.69415799
1635120000000,61175.44,63289.67,64050.99,60962.02,129.81578966
1635206400000,63303.02,60593.76,63495.75,60142.03,129.29201413
1635292800000,60612.14,59144.18,61749.8,58800.0,137.45582624
1635379200000,59140.97,61016.16,63199.88,58500.0,178.36606265
1635465600000,60989.53,62487.37,63103.89,60587.11,130.79407294
1635552000000,62501.07,62050.0,62576.07,61100.0,112.22218975
1635638400000,62050.0,61658.53,62585.66,60418.22,112.14060084
1635724800000,61647.65,61232.13,62700.0,59934.37,138.54161924
